rssi_percs_25,avg(txWeightedPhyRate),avg(rxWeightedPhyRate)
-85.0,38.31589410708885,18.492738167863866
-84.0,43.27604293871443,19.940779939536633
-83.0,58.00680807991045,26.47766826743145
-82.0,77.85220869724692,33.80624136634355
-81.0,98.2207671214636,42.02408564834691
-80.0,92.0519786820718,45.744524475703365
-79.0,99.06169762668068,52.2692837874354
-78.0,103.77757285458391,61.616318196336955
-77.0,108.8934960821002,68.47016044349654
-76.0,117.44179663367468,73.82693922311002
-75.0,124.28071603225938,81.56158972604433
-74.0,128.10846585996043,89.09144323295662
-73.0,133.94236088122767,96.22728354233278
-72.0,135.42890692701658,96.84379051047901
-71.0,142.14393962141708,103.02229059230731
-70.0,148.4427012890708,111.18121041469139
-69.0,150.48544340277508,118.53603838209074
-68.0,160.06938924212048,130.7827446530293
-67.0,174.93920048477614,145.70061987774622
-66.0,200.78906847163879,172.7782647240259
-65.0,220.5521219515409,197.17701661228884
